pango,R,seq_volume
BA.5.1.28,-11.425104141235352,623
BA.5.1.3,-26.12175941467285,10241
BA.5.1.30,-24.023773193359375,17007
BA.5.1.33,-10.286521911621094,1110
BA.5.1.34,1.5722755193710327,1422
BA.5.1.35,-26.928922653198242,1643
BA.5.1.4,-29.29356575012207,1256
BA.5.1.5,-16.41621208190918,8332
BA.5.1.6,-23.455516815185547,3762
BA.5.1.7,-22.92702293395996,2222
BA.5.1.8,-28.116846084594727,3344
BA.5.1.9,-26.839313507080078,783
BA.5.10.1,-19.837663650512695,1492
BA.5.11,3.107754707336426,2738
BA.5.2,-21.789630889892578,252165
BA.5.2.1,-23.00110626220703,262683
BA.5.2.10,-27.114084243774414,363
BA.5.2.12,-24.117002487182617,5039
BA.5.2.13,-8.419209480285645,3254
BA.5.2.14,-10.070023536682129,631
BA.5.2.16,-23.093603134155273,1626
BA.5.2.19,-21.164491653442383,2160
BA.5.2.2,-28.15020751953125,3631
BA.5.2.20,-19.685487747192383,21914
BA.5.2.21,-21.59814453125,9940
BA.5.2.22,-21.83062744140625,4416
BA.5.2.23,-9.749829292297363,2031
BA.5.2.24,-15.4955415725708,1164
BA.5.2.25,-10.399046897888184,1080
BA.5.2.26,-21.398338317871094,4306
BA.5.2.27,-19.56700325012207,3339
BA.5.2.28,-21.990333557128906,3532
BA.5.2.29,-17.311304092407227,315
BA.5.2.3,-22.616497039794922,7818
BA.5.2.30,-16.40239906311035,291
BA.5.2.31,-19.041397094726562,1458
BA.5.2.32,-8.435961723327637,399
BA.5.2.33,-18.366437911987305,1528
BA.5.2.34,-7.362311840057373,4580
BA.5.2.35,-5.736603736877441,3460
BA.5.2.36,-9.633511543273926,587
BA.5.2.37,-16.745512008666992,286
BA.5.2.4,-26.179067611694336,732
BA.5.2.43,-1.5593116283416748,1520
BA.5.2.44,-19.680620193481445,1009
BA.5.2.47,-7.13031005859375,1424
BA.5.2.48,-0.46265172958374023,2135
BA.5.2.49,-5.35467004776001,819
BA.5.2.52,-8.079693794250488,474
BA.5.2.53,-14.936178207397461,609
BA.5.2.54,-8.488929748535156,221
BA.5.2.55,-19.531707763671875,1548
BA.5.2.56,-12.566460609436035,445
BA.5.2.57,-9.710780143737793,1846
BA.5.2.58,-9.647974967956543,835
BA.5.2.59,-12.18185806274414,475
BA.5.2.6,-7.90798807144165,16349
BA.5.2.60,-6.383180141448975,324
BA.5.2.62,-15.382547378540039,675
BA.5.2.7,-14.572813034057617,2291
BA.5.2.8,-21.438264846801758,1384
BA.5.2.9,-20.828096389770508,14947
BA.5.3,-42.349334716796875,3494
BA.5.3.1,-22.080013275146484,5405
BA.5.3.2,-43.247215270996094,2288
BA.5.3.3,-26.96272850036621,2307
BA.5.3.4,-41.00687026977539,844
BA.5.3.5,-3.010550022125244,588
BA.5.5,-31.282691955566406,52689
BA.5.5.1,-16.828157424926758,3116
BA.5.5.2,-26.577388763427734,1061
BA.5.5.3,-25.171672821044922,584
BA.5.6,-27.252473831176758,36510
BA.5.6.1,-23.37255859375,1496
BA.5.6.2,-20.266279220581055,1113
BA.5.6.3,-12.859528541564941,217
BA.5.7,-21.281204223632812,1086
BA.5.8,-30.521757125854492,5635
BA.5.9,-17.378690719604492,7293
BE.1,-27.7381591796875,25509
BE.1.1,-27.01765251159668,53435
BE.1.1.1,-15.227954864501953,1949
BE.1.1.2,-21.754959106445312,5676
BE.1.2,-15.45138168334961,1253
BE.1.2.1,-7.130553722381592,1943
BE.1.3,-28.4761962890625,906
BE.1.4,-25.886154174804688,2712
BE.1.4.1,-23.17182731628418,366
BE.1.4.2,-8.119241714477539,435
BE.10,-0.9755985140800476,1899
BE.11,-27.082504272460938,1794
BE.12,-31.23126220703125,425
BE.2,-28.941429138183594,2007
BE.3,-28.763578414916992,8605
BE.4,-24.52250099182129,2444
BE.4.1,-10.329818725585938,654
BE.4.1.1,-5.7666802406311035,206
BE.4.2,-1.6911004781723022,440
BE.6,-7.381229877471924,313
BE.7,-3.3986258506774902,541
BE.8,-4.424564838409424,291
BE.9,1.246141791343689,3570
BF.1,-33.231529235839844,10387
BF.1.1,-44.64619064331055,399
BF.10,-22.638423919677734,20723
BF.11,-9.668699264526367,8538
BF.11.1,-11.448934555053711,1026
BF.11.2,0.3004147410392761,880
BF.11.3,-8.461274147033691,596
BF.11.4,-8.872632026672363,406
BF.11.5,-7.904791831970215,648
BF.12,-25.489534378051758,965
BF.13,-15.097848892211914,2416
BF.14,-11.691411018371582,6704
BF.15,-19.70136833190918,686
BF.16,-18.257293701171875,576
BF.17,-25.14232063293457,616
BF.18,-25.02056312561035,1013
BF.2,-23.428464889526367,2286
BF.20,-28.76978302001953,205
BF.21,-25.675474166870117,9832
BF.22,-24.624971389770508,1573
BF.23,-25.691879272460938,315
BF.24,-26.270408630371094,721
BF.25,-14.027464866638184,1143
BF.26,-18.778724670410156,9251
BF.27,-24.519811630249023,6615
BF.28,-26.052955627441406,8140
BF.29,-18.49077796936035,309
BF.3,-27.713205337524414,547
BF.3.1,-25.504621505737305,1286
BF.31,-21.82120704650879,806
BF.31.1,-9.055543899536133,594
BF.32,-9.476990699768066,630
BF.36,-24.730052947998047,2041
BF.37,-11.807591438293457,351
BF.38,-21.744226455688477,1551
BF.38.1,-11.780403137207031,236
BF.39,-21.062423706054688,1758
BF.4,-25.014751434326172,3758
BF.40,-20.345569610595703,435
BF.41,-24.867509841918945,639
BF.41.1,-7.077450752258301,219
BF.5,-19.418718338012695,81280
BF.5.2,-8.197233200073242,212
BF.5.4,-17.50888442993164,2079
BF.5.5,-17.542009353637695,297
BF.6,-24.11589241027832,1620
BF.7,-10.072866439819336,45013
BF.7.1,-10.32966423034668,602
BF.7.10,-7.695834636688232,312
BF.7.12,-7.872476577758789,296
BF.7.13.2,-6.7254533767700195,213
BF.7.14,2.7225897312164307,4935
BF.7.14.1,2.2316596508026123,558
BF.7.14.4,1.864964485168457,424
BF.7.14.5,3.9879555702209473,516
BF.7.14.6,2.6675612926483154,260
BF.7.15,1.9789328575134277,4010
BF.7.16,-12.460618019104004,370
BF.7.18,-5.012364387512207,267
BF.7.19,-8.549736022949219,909
BF.7.19.1,-3.78216290473938,1044
BF.7.20,-10.693212509155273,2245
BF.7.21,-10.344364166259766,1839
BF.7.22,-7.706511497497559,1463
BF.7.23,-8.084623336791992,1243
BF.7.24,-9.787369728088379,1381
BF.7.26,-10.868993759155273,889
BF.7.27,-11.741233825683594,480
BF.7.3,-6.431944370269775,370
BF.7.4,-10.131067276000977,5330
BF.7.4.1,-4.230424404144287,7256
BF.7.4.2,-12.537965774536133,743
BF.7.4.3,-1.7019768953323364,437
BF.7.5,-8.730688095092773,5381
BF.7.5.1,-6.450711250305176,375
BF.7.6,-10.33480453491211,3191
BF.7.7,-8.118382453918457,965
BF.7.8,-10.062576293945312,664
BF.8,-26.70222282409668,5049
BF.9,-28.00594139099121,3596
BG.1,-57.19186019897461,295
BG.2,-52.69062805175781,9036
BG.4,-53.693912506103516,702
BG.5,-49.78916549682617,1762
BH.1,-20.161121368408203,290
BK.1,-20.651531219482422,1831
BL.1,-12.728479385375977,1712
BL.2,-13.595388412475586,501
BL.4,-20.481433868408203,248
BL.6,-5.814205646514893,246
BM.1.1,-12.36778736114502,824
BM.1.1.1,-14.60530948638916,256
BM.1.1.3,-10.126015663146973,2295
BM.4.1.1,-11.219756126403809,762
BN.1,0.33422353863716125,5292
BN.1.1,-0.6653332710266113,873
BN.1.1.1,3.517691135406494,745
BN.1.10,3.8078155517578125,697
BN.1.11,0.16727501153945923,220
BN.1.2,3.672583818435669,8648
BN.1.2.1,4.0121893882751465,1194
BN.1.2.2,1.7335302829742432,2132
BN.1.2.3,5.263794898986816,1896
BN.1.2.4,2.029360771179199,539
BN.1.2.5,6.7656731605529785,1286
BN.1.2.6,7.2360005378723145,397
BN.1.3,1.6088069677352905,13360
BN.1.3.1,3.2477524280548096,4669
BN.1.3.12,4.523908615112305,755
BN.1.3.2,6.383151531219482,696
BN.1.3.3,-1.1921879053115845,286
BN.1.3.5,2.7128512859344482,1928
BN.1.3.6,-1.8346469402313232,1332
BN.1.3.7,1.9367976188659668,903
BN.1.4,1.4659321308135986,1834
BN.1.4.2,12.137295722961426,326
BN.1.4.3,3.4682629108428955,729
BN.1.4.4,4.073864936828613,1020
BN.1.4.5,-0.532310426235199,214
BN.1.5,0.11990842968225479,3162
BN.1.7,5.512607574462891,873
BN.1.9,-1.8823940753936768,867
BN.3.1,3.4678354263305664,1450
BN.5,-14.49200439453125,318
BN.6,-13.036967277526855,292
BQ.1,-1.5529353618621826,43059
BQ.1.1,2.0463883876800537,144765
BQ.1.1.1,1.4202852249145508,4403
BQ.1.1.10,6.780958652496338,2976
BQ.1.1.11,1.6443592309951782,920
BQ.1.1.13,7.900972843170166,1878
BQ.1.1.15,3.2871110439300537,2789
BQ.1.1.17,-1.1168209314346313,709
BQ.1.1.18,2.3778774738311768,9402
BQ.1.1.19,-0.23404060304164886,613
BQ.1.1.2,7.024885177612305,2349
BQ.1.1.20,7.063207626342773,4422
BQ.1.1.22,6.204748630523682,2172
BQ.1.1.23,6.448231220245361,2562
BQ.1.1.24,4.624077320098877,1186
BQ.1.1.26,6.474360466003418,245
BQ.1.1.27,1.1463263034820557,457
BQ.1.1.28,4.16597318649292,1006
BQ.1.1.29,8.622088432312012,694
BQ.1.1.3,1.5043123960494995,6012
BQ.1.1.30,5.548951625823975,203
BQ.1.1.31,5.399715900421143,1413
BQ.1.1.32,9.610400199890137,2895
BQ.1.1.35,10.647087097167969,1032
BQ.1.1.36,6.942990303039551,766
BQ.1.1.37,14.768322944641113,438
BQ.1.1.38,9.340612411499023,268
BQ.1.1.39,13.621322631835938,318
BQ.1.1.4,1.3602261543273926,9159
BQ.1.1.40,3.164050340652466,1939
BQ.1.1.41,5.927089691162109,1969
BQ.1.1.42,8.942999839782715,746
BQ.1.1.43,10.314935684204102,410
BQ.1.1.44,6.901118278503418,577
BQ.1.1.45,18.01775550842285,2373
BQ.1.1.46,11.517013549804688,523
BQ.1.1.47,10.415406227111816,930
BQ.1.1.48,14.813855171203613,239
BQ.1.1.5,1.2267872095108032,5033
BQ.1.1.51,3.750497579574585,1507
BQ.1.1.52,3.3299739360809326,1225
BQ.1.1.53,8.284488677978516,500
BQ.1.1.54,7.541617393493652,427
BQ.1.1.55,6.252715587615967,378
BQ.1.1.56,3.7020809650421143,396
BQ.1.1.57,3.64030385017395,468
BQ.1.1.58,10.456355094909668,463
BQ.1.1.6,1.6742534637451172,1571
BQ.1.1.60,1.9951732158660889,559
BQ.1.1.63,16.51581573486328,579
BQ.1.1.65,14.894918441772461,593
BQ.1.1.66,8.623876571655273,353
BQ.1.1.67,1.0946155786514282,1362
BQ.1.1.68,1.47682785987854,1606
BQ.1.1.69,2.744873523712158,3422
BQ.1.1.7,0.06732860207557678,3897
BQ.1.1.70,-7.483118057250977,1830
BQ.1.1.72,4.981092929840088,581
BQ.1.1.76,4.616109371185303,748
