pango,R,seq_volume
GK.1,49.443668365478516,652
GK.1.1,60.481048583984375,1205
GK.2,54.24184799194336,472
GK.2.1,56.15793991088867,554
GL.1,48.731407165527344,203
GN.1,47.774505615234375,513
GP.2,16.735363006591797,708
GP.3,15.053788185119629,358
GR.1,35.65894317626953,905
GS.1,44.20013427734375,382
GS.4.1,62.300567626953125,1060
GU.1,32.67374038696289,304
GV.1,40.29983139038086,339
GW.1,37.71751022338867,270
GY.1,45.93698501586914,303
GY.5,41.902164459228516,947
GY.6,41.35251998901367,406
GY.7,43.537471771240234,211
GZ.1,46.2037239074707,208
HE.1,37.842620849609375,215
HF.1,51.64453125,2161
HH.1,41.27127456665039,2043
HH.1.1,42.29063415527344,225
HH.2,44.364952087402344,437
HK.1,58.647212982177734,217
HK.3,77.36908721923828,2149
HK.6,60.48725509643555,646
HN.1,58.83879470825195,312
HS.1,42.281131744384766,227
HT.1,33.09366989135742,298
HT.2,33.022911071777344,528
HV.1,69.43360900878906,1645
HW.1,44.64732360839844,551
HY.1,45.23247528076172,322
HZ.1,45.54351806640625,472
HZ.2,39.00949478149414,293
HZ.3,32.764225006103516,209
JD.1.1,67.52481079101562,388
JF.1,68.16139221191406,340
JG.3,77.11992645263672,215
XAB,-67.09123992919922,206
XAC,-63.715003967285156,424
XAF,-61.62317657470703,299
XAM,-58.31865692138672,509
XAP,-66.79889678955078,696
XAR,-62.88844299316406,385
XAS,-25.43967628479004,448
XAY.1.1.1,21.42365264892578,202
XAY.2,5.310083866119385,307
XAZ,-24.54322052001953,2384
XBB,-0.9367132782936096,1650
XBB.1,1.2047535181045532,17510
XBB.1.1,-1.5875074863433838,1007
XBB.1.11.1,27.83814811706543,269
XBB.1.15,7.087713718414307,4015
XBB.1.16,40.14012908935547,25010
XBB.1.16.1,39.85332107543945,8686
XBB.1.16.10,38.856163024902344,503
XBB.1.16.11,52.57560348510742,2717
XBB.1.16.12,44.92726516723633,380
XBB.1.16.13,39.88003158569336,415
XBB.1.16.14,49.02216339111328,294
XBB.1.16.15,56.99266052246094,1255
XBB.1.16.18,40.2651481628418,684
XBB.1.16.19,42.141090393066406,881
XBB.1.16.2,39.26911544799805,2303
XBB.1.16.20,40.59574890136719,303
XBB.1.16.21,43.18613815307617,582
XBB.1.16.22,37.027565002441406,369
XBB.1.16.23,53.21514129638672,249
XBB.1.16.3,37.84648895263672,575
XBB.1.16.4,35.7863655090332,364
XBB.1.16.5,40.72005844116211,445
XBB.1.16.6,54.574623107910156,4935
XBB.1.16.7,42.282920837402344,502
XBB.1.16.8,43.51882553100586,600
XBB.1.16.9,50.802711486816406,652
XBB.1.17.1,31.17218017578125,1063
XBB.1.18,12.408265113830566,327
XBB.1.18.1,29.124046325683594,1264
XBB.1.19.1,31.404678344726562,519
XBB.1.22,41.14194869995117,417
XBB.1.22.1,40.949737548828125,881
XBB.1.22.2,34.506954193115234,596
XBB.1.24.1,36.1930046081543,227
XBB.1.33,37.2027587890625,359
XBB.1.37.1,31.762365341186523,304
XBB.1.4,5.168431758880615,519
XBB.1.4.1,3.376129150390625,1455
XBB.1.41.1,52.013431549072266,353
XBB.1.42,41.4004020690918,447
XBB.1.42.2,46.4350471496582,1542
XBB.1.5,25.308799743652344,156404
XBB.1.5.1,29.247163772583008,3285
XBB.1.5.10,37.889060974121094,2176
XBB.1.5.100,31.1471004486084,597
XBB.1.5.102,23.780397415161133,1239
XBB.1.5.104,33.29776382446289,402
XBB.1.5.11,22.300155639648438,1470
XBB.1.5.12,28.775346755981445,2303
XBB.1.5.13,25.821311950683594,6375
XBB.1.5.14,24.5035343170166,911
XBB.1.5.15,26.146541595458984,4535
XBB.1.5.16,25.221757888793945,2089
XBB.1.5.17,25.333810806274414,3049
XBB.1.5.18,26.250774383544922,2216
XBB.1.5.19,21.30615234375,1327
XBB.1.5.2,27.316761016845703,975
XBB.1.5.20,26.045286178588867,2767
XBB.1.5.21,25.286325454711914,1642
XBB.1.5.22,20.178861618041992,314
XBB.1.5.23,28.059106826782227,1016
XBB.1.5.24,28.26772117614746,3234
XBB.1.5.25,25.800403594970703,661
XBB.1.5.26,27.66859245300293,241
XBB.1.5.27,32.110107421875,318
XBB.1.5.28,35.07307815551758,761
XBB.1.5.3,25.712276458740234,330
XBB.1.5.30,30.40985870361328,808
XBB.1.5.31,24.4824161529541,2080
XBB.1.5.32,25.45461082458496,2642
XBB.1.5.33,23.464332580566406,2007
XBB.1.5.34,22.42911720275879,638
XBB.1.5.35,28.962032318115234,1292
XBB.1.5.36,25.257038116455078,582
XBB.1.5.37,33.53235626220703,3551
XBB.1.5.38,27.3312931060791,520
XBB.1.5.39,22.779254913330078,1013
XBB.1.5.4,29.901094436645508,2023
XBB.1.5.43,28.064403533935547,346
XBB.1.5.44,39.84881591796875,231
XBB.1.5.46,26.77194595336914,1594
XBB.1.5.47,27.922706604003906,702
XBB.1.5.48,24.75359344482422,2044
XBB.1.5.49,30.792245864868164,3154
XBB.1.5.5,29.693492889404297,1054
XBB.1.5.50,29.06429672241211,591
XBB.1.5.51,26.817182540893555,1553
XBB.1.5.52,26.281118392944336,1599
XBB.1.5.55,25.025602340698242,435
XBB.1.5.56,27.84676170349121,537
XBB.1.5.57,27.66442108154297,511
XBB.1.5.59,39.84445571899414,719
XBB.1.5.6,23.159616470336914,280
XBB.1.5.60,27.404579162597656,337
XBB.1.5.61,25.84775733947754,642
XBB.1.5.62,26.913604736328125,973
XBB.1.5.63,26.17176628112793,1373
XBB.1.5.64,26.35125160217285,289
XBB.1.5.65,28.45512580871582,1461
XBB.1.5.66,27.166650772094727,1186
XBB.1.5.67,24.7778263092041,1596
XBB.1.5.69,29.010683059692383,577
XBB.1.5.7,24.66694450378418,6252
XBB.1.5.70,45.1635627746582,499
XBB.1.5.71,38.38622283935547,431
XBB.1.5.72,45.74464416503906,1477
XBB.1.5.73,33.25924301147461,1111
XBB.1.5.75,28.66207504272461,504
XBB.1.5.76,30.540315628051758,1077
XBB.1.5.77,30.242061614990234,1972
XBB.1.5.78,28.90326690673828,492
XBB.1.5.79,23.576189041137695,398
XBB.1.5.8,21.731767654418945,321
XBB.1.5.80,27.64763069152832,550
XBB.1.5.86,30.182861328125,794
XBB.1.5.88,27.973604202270508,231
XBB.1.5.9,20.915843963623047,879
XBB.1.5.90,31.052902221679688,359
XBB.1.5.91,28.664072036743164,657
XBB.1.5.92,30.616947174072266,281
XBB.1.5.94,30.97303581237793,386
XBB.1.5.95,26.594865798950195,1376
XBB.1.5.96,26.2667179107666,658
XBB.1.5.97,31.391172409057617,409
XBB.1.5.99,24.804779052734375,439
XBB.1.9,8.708495140075684,986
XBB.1.9.1,33.1824951171875,14817
XBB.1.9.2,33.37607955932617,6967
XBB.1.9.5,15.210824012756348,273
XBB.2,0.20679756999015808,1353
XBB.2.11.1,7.399182319641113,618
XBB.2.2,2.561429738998413,298
XBB.2.3,38.72945785522461,5190
XBB.2.3.1,32.52833938598633,330
XBB.2.3.11,44.757266998291016,833
XBB.2.3.14,35.76962661743164,222
XBB.2.3.2,40.6153678894043,1983
XBB.2.3.3,41.948707580566406,1054
XBB.2.3.4,36.56675338745117,246
XBB.2.3.5,40.120792388916016,479
XBB.2.3.6,35.44490432739258,481
XBB.2.3.7,34.85823059082031,296
XBB.2.3.8,42.73139572143555,1877
XBB.2.4,23.511707305908203,543
XBB.2.5,9.26049518585205,300
XBB.2.6,6.317355155944824,6504
XBB.2.6.2,8.419069290161133,264
XBB.2.8,-0.9109383821487427,613
XBB.3,-3.088277578353882,879
XBB.3.2,0.700149416923523,221
XBB.4,-0.4389929175376892,245
XBB.6.1,15.833939552307129,293
XBB.8,-4.750486850738525,218
XBB.9,-1.9702637195587158,853
XBC.1,2.1469407081604004,430
XBC.1.1,9.39432144165039,712
XBC.1.3,37.16697692871094,684
XBC.1.6,42.651336669921875,1118
XBC.1.6.1,38.025142669677734,292
XBC.1.6.2,38.68570327758789,232
XBC.1.6.4,41.08579635620117,208
XBD,-8.378336906433105,295
XBE,-11.330061912536621,410
XBF,12.596500396728516,8284
XBF.2,12.409622192382812,447
XBF.3,14.488153457641602,489
XBF.4,18.1792049407959,219
XBF.5,16.004886627197266,457
XBF.6,15.62255573272705,224
XBK,12.612250328063965,657
XBK.1,18.03005599975586,658
XBL,28.600933074951172,304
XBL.2,28.23946762084961,215
XBL.3,33.64415740966797,361
XBM,2.3465564250946045,329
XBT,9.812734603881836,245
XCH.1,64.38623046875,266
XE,-68.57818603515625,2563
XG,-70.2035140991211,208
XJ,-83.90914916992188,262
XM,-70.03068542480469,467
XN,-65.326904296875,423
XP,-94.90208435058594,207
XQ,-69.7972640991211,350
XZ,-64.31531524658203,421
